body_site;Actinobacteria;Ascomycota;Bacteroidetes;Basidiomycota;Candidatus_Melainabacteria;Chlamydiae;Chloroflexi;Cyanobacteria;Eukaryota_unclassified;Euryarchaeota;Firmicutes;Fusobacteria;Lentisphaerae;Proteobacteria;Spirochaetes;Synergistetes;Tenericutes;Verrucomicrobia
nasalcavity;56.54282076086957;0.0002702173913043478;1.1597459782608694;3.572701304347826;0.0;0.0;0.0;0.0;0.0;0.0;27.000732826086956;0.12213315217391305;0.0;11.584734782608695;0.0;0.0007434782608695652;0.0;0.0
oralcavity;22.31256306010929;0.004789672131147541;13.725379071038251;0.016665628415300546;0.0;0.000547103825136612;0.007011994535519126;0.010828224043715848;0.0;0.00014013661202185793;37.148405464480874;5.078381857923497;0.0;21.266756857923497;0.2806944535519126;0.020355081967213116;0.0;0.0007135792349726776
skin;78.63644481481481;6.962962962962962e-05;0.08813074074074073;4.508455925925926;0.0;0.0;0.0;0.0;0.0;0.00015518518518518518;15.747232962962963;0.0232562962962963;0.0;0.9882677777777779;0.0;0.0;0.0;0.00018925925925925927
stool;0.4868849315068493;0.00010253424657534246;79.4235898630137;0.0;0.00015753424657534247;0.0;0.0;0.0;0.0011943150684931507;0.04871780821917808;17.721083219178084;0.006077465753424657;0.007460479452054794;1.7118533561643836;0.009004657534246575;0.0002573972602739726;0.0003610958904109589;0.5585425342465753
vagina;5.4270140298507465;0.0256110447761194;2.627941044776119;0.00022791044776119404;0.0;0.0;0.0;0.0;0.0;0.0;90.73900671641792;0.6681431343283581;0.0;0.04689880597014925;0.0;0.0;0.46514835820895517;0.0
